Job private String businessPhone,job detail jsp s if test job businessPhone null job businessPhone length,1
Job private Boolean usesMap,jobsTable jsp s if test attr job usesMap,1
Job private String businessEmail,job detail jsp a href mailto job businessEmail job businessEmail a,1
LoggingAction private Set LogLevels logLevels EnumSet allOf LogLevels class,logging jsp s select list logLevels listValue logLevelName value attr bean logLevel name newLogger newLogLevel,1
User private String username,user list table jsp s property value attr user username escape true,1
ApiKeysHolder private String bitlyPassword,applicationContext server xml property name bitlyPassword value bitly password,1
ApiKeysHolder private String twitterPassword,applicationContext server xml property name twitterPassword value twitter password,1
Job private String businessName,search jsp jmesa htmlColumn property businessName titleKey jsp show jobs table business name,1
Job private Statistic statistic,edit job jsp li label spring message code jsp admin edit job fieldset label page visits label s property value job statistic counter default N A li,1
Job private String jobRestrictions,job detail jsp s if test job jobRestrictions null job jobRestrictions length,1
Job private Boolean usesMap,job detail jsp s if test job usesMap,1
Statistic private Long counter,edit job jsp li label spring message code jsp admin edit job fieldset label page visits label s property value job statistic counter default N A li,1
LoggingAction private Set LogLevels logLevels EnumSet allOf LogLevels class,loggingLoggerTable jsp s select list logLevels listValue logLevelName value attr bean logLevel name updatedLoggers attr rowcount newLogLevel,1
JobBaseAction private List Industry industries,job header jsp list industries headerKey headerValue getText jsp ALL marked fields please select,1
Job private String jobTitle,search jsp jmesa htmlColumn property jobTitle titleKey jsp show jobs table job title,1
Job private Statistic statistic,edit job jsp li label spring message code jsp admin edit job fieldset label last access label fmt formatDate value job statistic lastAccess type date pattern datePattern li,1
ApiKeysHolder private String twitterUsername,applicationContext server xml property name twitterUsername value twitter username,1
Job private String jobTitle,job detail jsp s property value job jobTitle escape true,1
Job private String businessPhone,job detail jsp job businessPhone,1
Job private String salary,job detail jsp s if test job salary null,1
Job private String website,job detail jsp c if test fn contains job website http,1
Job private BigDecimal latitude null,job detail jsp showJob map canvas job latitude job longitude job zoomLevel,1
ApiKeysHolder private String reCaptchaKey,signup jsp src http api recaptcha net challenge k apiKeysHolder reCaptchaKey,1
ApiKeysHolder private String bitlyUsername,applicationContext server xml property name bitlyUsername value bitly username,1
