version,Employee.java,hispacta\\src\\main\\java\\hispacta\\bo\\Employee.java,"<version name=""version""/>",13,Employee.hbm.xml,hispacta\src\main\java\hispacta\dao\impl\hibernate\mapping\Employee.hbm.xml
version,Employee.java,hispacta\\src\\main\\java\\hispacta\\bo\\Employee.java,"<version name=""version""/>",13,Employee.hbm.xml,hispacta\src\main\resources\hispacta\dao\impl\hibernate\mapping\Employee.hbm.xml
editing,CrudPage.java,hispacta\\src\\main\\java\\hispacta\\tapestry\\page\\CrudPage.java,"<span jwcid=""@Conditional"" condition=""ognl:page.editing"">",30,CrudPage.html,hispacta\src\main\java\hispacta\tapestry\jwc\CrudPage.html
editing,CrudPage.java,hispacta\\src\\main\\java\\hispacta\\tapestry\\page\\CrudPage.java,"<span jwcid=""@Hidden"" value=""ognl:page.editing""/>",16,CrudPage.html,hispacta\src\main\resources\hispacta\tapestry\jwc\CrudPage.html
editing,CrudPage.java,hispacta\\src\\main\\java\\hispacta\\tapestry\\page\\CrudPage.java,"<span jwcid=""@Hidden"" value=""ognl:page.editing""/>",16,CrudPage.html,hispacta\src\main\java\hispacta\tapestry\jwc\CrudPage.html
editing,CrudPage.java,hispacta\\src\\main\\java\\hispacta\\tapestry\\page\\CrudPage.java,"<span jwcid=""@Conditional"" condition=""ognl:!page.editing && page.canModify()"">",26,CrudPage.html,hispacta\src\main\java\hispacta\tapestry\jwc\CrudPage.html
editing,CrudPage.java,hispacta\\src\\main\\java\\hispacta\\tapestry\\page\\CrudPage.java,"<span jwcid=""@Conditional"" condition=""ognl:!page.editing && page.canModify()"">",26,CrudPage.html,hispacta\src\main\resources\hispacta\tapestry\jwc\CrudPage.html
editing,CrudPage.java,hispacta\\src\\main\\java\\hispacta\\tapestry\\page\\CrudPage.java,"<span jwcid=""@Conditional"" condition=""ognl:page.editing"">",30,CrudPage.html,hispacta\src\main\resources\hispacta\tapestry\jwc\CrudPage.html
text,News.java,hispacta\\src\\main\\java\\hispacta\\bo\\News.java,"<property name=""text""/>",15,News.hbm.xml,hispacta\src\main\java\hispacta\dao\impl\hibernate\mapping\News.hbm.xml
text,News.java,hispacta\\src\\main\\java\\hispacta\\bo\\News.java,"<span jwcid=""@Insert"" value=""ognl:@hispacta.util.Utils@shortenStr(item.text* 90)""/>",17,Home.html,hispacta\src\main\webapp\WEB-INF\Home.html
text,News.java,hispacta\\src\\main\\java\\hispacta\\bo\\News.java,"<property name=""text""/>",15,News.hbm.xml,hispacta\src\main\resources\hispacta\dao\impl\hibernate\mapping\News.hbm.xml
text,News.java,hispacta\\src\\main\\java\\hispacta\\bo\\News.java,"<td><span jwcid=""@Insert"" value=""ognl:@hispacta.util.Utils@shortenStr(item.text* 140)""/></td>",41,Newss.html,hispacta\src\main\webapp\WEB-INF\Newss.html
text,News.java,hispacta\\src\\main\\java\\hispacta\\bo\\News.java,"<a jwcid=""@my:OrderColumn"" orderProperties=""text"">",21,Newss.html,hispacta\src\main\webapp\WEB-INF\Newss.html
