javaclassnum,fieldsprob,fieldsavg,fieldssum
1,0.875,1.75,14
1,0.8571428571428571,1.8571428571428572,13
1,0.8,2.2,11
1,0.8571428571428571,2.0,14
1,1.0,1.1904761904761905,25
1,0.8,2.2,11
1,0.8333333333333334,2.0,12
1,0.8333333333333334,2.0,12
2,0.8333333333333334,2.3333333333333335,14
1,0.8,2.2,11
1,0.875,1.75,14
1,1.0,1.3333333333333333,12
1,0.9,1.6,16
1,0.9090909090909091,1.5454545454545454,17
1,0.8571428571428571,1.8571428571428572,13
1,0.8,2.2,11
1,0.9333333333333333,1.4,21
1,0.8,2.2,11
1,0.8571428571428571,1.8571428571428572,13
1,0.875,1.75,14
1,0.8,1.6,8
1,0.8888888888888888,1.6666666666666667,15
1,0.9166666666666666,1.5,18
1,0.8888888888888888,1.6666666666666667,15
1,0.8333333333333334,2.0,12
1,0.875,1.75,14
1,0.9090909090909091,1.5454545454545454,17
1,0.8,2.2,11
1,0.8571428571428571,2.0,14
1,0.9,1.6,16
1,0.9333333333333333,1.4,21
1,0.8,2.2,11
1,0.8888888888888888,1.6666666666666667,15
1,0.8,2.2,11
1,0.8888888888888888,1.6666666666666667,15
1,0.8571428571428571,1.8571428571428572,13
1,0.875,1.75,14
2,0.8333333333333334,2.3333333333333335,14
1,0.875,1.75,14
1,0.8,2.2,11
1,0.8571428571428571,1.8571428571428572,13
1,0.8571428571428571,1.8571428571428572,13
1,0.9166666666666666,1.5,18
1,0.8,1.6,8
1,0.8333333333333334,2.0,12
1,0.8,2.2,11
1,0.8333333333333334,2.0,12
0,0.6666666666666666,15.0,90
0,0.6666666666666666,15.0,90
1,0.07142857142857142,1.4285714285714286,20
1,0.125,0.8125,26
1,0.07317073170731707,0.5853658536585366,24
1,0.17391304347826086,1.3478260869565217,31
1,0.13636363636363635,1.0909090909090908,24
1,0.10526315789473684,1.1578947368421053,22
1,0.07692307692307693,1.5384615384615385,20
1,0.10526315789473684,1.1578947368421053,22
1,0.07692307692307693,1.5384615384615385,20
1,0.10526315789473684,1.1578947368421053,22
1,0.8333333333333334,2.0,12
1,0.9090909090909091,1.5454545454545454,17
1,0.07692307692307693,1.3846153846153846,36
1,0.19047619047619047,1.3571428571428572,57
1,0.16666666666666666,1.75,21
1,0.15384615384615385,1.0961538461538463,57
1,0.25,2.625,21
1,0.20408163265306123,1.2244897959183674,60
1,0.11627906976744186,1.0465116279069768,45
1,0.10526315789473684,1.894736842105263,36
1,0.1,0.8666666666666667,26
1,0.19047619047619047,1.3571428571428572,57
1,1.0,4.857142857142857,34
1,0.20408163265306123,1.2244897959183674,60
1,0.11627906976744186,1.0465116279069768,45
1,0.07692307692307693,1.3846153846153846,36
1,0.10526315789473684,1.894736842105263,36
1,0.15384615384615385,1.0961538461538463,57
1,1.0,4.857142857142857,34
1,1.0,11.0,22
1,1.0,7.666666666666667,69
1,1.0,7.666666666666667,69
1,1.0,6.363636363636363,140
1,1.0,15.0,15
1,1.0,12.0,24
1,1.0,7.8,39
1,1.0,4.0,8
1,0.2857142857142857,0.42857142857142855,3
1,0.125,0.75,6
1,0.06896551724137931,0.27586206896551724,8
1,0.8,3.2,16
1,0.8571428571428571,2.857142857142857,20
1,0.06666666666666667,0.4,6
1,0.08823529411764706,0.47058823529411764,16
1,0.125,0.6875,11
1,0.1694915254237288,1.1355932203389831,67
1,0.125,0.6875,11
1,0.15384615384615385,0.8461538461538461,11
1,0.041666666666666664,0.3333333333333333,8
1,0.17391304347826086,1.3478260869565217,31
1,0.041666666666666664,0.3333333333333333,8
1,0.3333333333333333,0.6666666666666666,2
1,0.0425531914893617,0.23404255319148937,11
0,1.0,4.0,4
0,1.0,3.0,3
1,1.0,4.857142857142857,34
1,0.15384615384615385,1.0961538461538463,57
1,0.19047619047619047,1.3571428571428572,57
1,0.20408163265306123,1.2244897959183674,60
1,0.8888888888888888,1.6666666666666667,15
1,1.0,11.0,22
1,1.0,6.363636363636363,140
1,1.0,7.8,39
1,1.0,4.857142857142857,34
1,1.0,6.363636363636363,140
1,1.0,7.666666666666667,69
1,1.0,7.666666666666667,69
1,1.0,12.0,24
1,0.16666666666666666,1.0,6
1,0.14285714285714285,0.8571428571428571,6
1,0.25,1.5,6
1,0.8571428571428571,2.857142857142857,20
1,1.0,7.666666666666667,69
1,1.0,6.363636363636363,140
1,1.0,7.666666666666667,69
1,0.8888888888888888,1.6666666666666667,15
1,0.8,3.2,16
1,0.8571428571428571,2.857142857142857,20
1,0.8571428571428571,2.0,14
1,0.13333333333333333,0.4666666666666667,7
1,0.09090909090909091,0.36363636363636365,12
1,0.18181818181818182,0.6363636363636364,7
1,0.06666666666666667,0.4,6
1,0.058823529411764705,0.35294117647058826,6
1,0.05555555555555555,0.3333333333333333,6
1,1.0,7.666666666666667,69
1,1.0,7.666666666666667,69
1,1.0,6.363636363636363,140
1,1.0,6.363636363636363,140
1,1.0,7.8,39
1,1.0,4.857142857142857,34
1,1.0,7.666666666666667,69
1,1.0,6.363636363636363,140
1,1.0,7.666666666666667,69
1,1.0,5.0,5
1,1.0,4.857142857142857,34
1,1.0,6.363636363636363,140
1,0.9166666666666666,1.5,18
1,1.0,7.666666666666667,69
1,1.0,6.363636363636363,140
1,1.0,7.666666666666667,69
1,1.0,7.8,39
1,1.0,6.363636363636363,140
1,1.0,4.857142857142857,34
1,1.0,6.363636363636363,140
1,1.0,7.666666666666667,69
1,1.0,7.666666666666667,69
1,1.0,7.8,39
1,1.0,7.0,7
1,1.0,6.363636363636363,140
1,1.0,7.0,7
1,1.0,5.666666666666667,17
1,1.0,6.363636363636363,140
1,1.0,7.666666666666667,69
1,1.0,6.363636363636363,140
1,1.0,7.666666666666667,69
1,1.0,5.0,5
1,1.0,5.0,5
1,1.0,5.0,5
1,1.0,6.363636363636363,140
1,0.1111111111111111,0.4444444444444444,8
1,0.11627906976744186,1.0465116279069768,45
1,0.8571428571428571,1.8571428571428572,13
0,0.5714285714285714,1.7142857142857142,12
1,0.9333333333333333,1.4,21
1,0.5,2.0,4
1,0.4,1.0,5
1,0.5,2.5,5
1,1.0,5.666666666666667,17
1,0.8,2.2,11
1,0.6,2.2,11
1,0.8,2.2,11
1,1.0,5.0,5
1,1.0,6.363636363636363,140
1,0.8571428571428571,1.8571428571428572,13
2,0.8333333333333334,2.3333333333333335,14
2,0.8333333333333334,2.3333333333333335,14
0,0.5714285714285714,1.8571428571428572,13
1,0.8571428571428571,1.8571428571428572,13
1,0.8571428571428571,1.8571428571428572,13
1,0.07142857142857142,0.2857142857142857,4
1,0.09090909090909091,0.22727272727272727,5
1,0.8571428571428571,2.857142857142857,20
1,0.8,3.2,16
1,0.8571428571428571,2.857142857142857,20
1,0.8,3.2,16
1,0.8,2.2,11
0,0.8,2.4,12
1,0.8,2.2,11
1,1.0,5.0,5
1,1.0,6.363636363636363,140
1,0.9090909090909091,1.5454545454545454,17
1,0.8,2.2,11
0,0.8,2.4,12
1,0.19047619047619047,1.3571428571428572,57
1,0.15384615384615385,1.0961538461538463,57
1,0.20408163265306123,1.2244897959183674,60
1,1.0,5.0,5
1,1.0,6.363636363636363,140
1,0.9166666666666666,1.5,18
1,0.2,1.0,5
1,1.0,6.363636363636363,140
1,1.0,5.666666666666667,17
1,1.0,6.363636363636363,140
1,1.0,5.0,5
1,1.0,6.363636363636363,140
1,0.07317073170731707,0.5853658536585366,24
1,0.125,0.8125,26
1,0.06896551724137931,0.27586206896551724,8
1,0.17391304347826086,1.3478260869565217,31
1,0.13636363636363635,1.0909090909090908,24
1,0.8,2.2,11
1,0.8888888888888888,1.6666666666666667,15
1,1.0,1.3333333333333333,12
1,1.0,1.1904761904761905,25
1,1.0,7.666666666666667,69
1,0.13636363636363635,1.0909090909090908,24
