E:\nuaa\1st_Year\1_code\LocalGit\jrecruiter\.idea\compiler.xml,CompilerConfiguration Maven default annotation processors profile true target generated sources annotations test jrecruiter server flex web gwt
E:\nuaa\1st_Year\1_code\LocalGit\jrecruiter\.idea\encodings.xml,Encoding file PROJECT DIR UTF jrecruiter flex src main resources gwt java server freemarker account validation html de ftl GBK text web
E:\nuaa\1st_Year\1_code\LocalGit\jrecruiter\.idea\jarRepositories.xml,RemoteRepositoriesConfiguration id java net name Java contains e g mail jar and activation url https maven repository dev nonav ObjectWEB http ow org central Central Repository aliyun com nexus content groups public for Maven download jrecruiter jRecruiter www hillert repo SpringSource Enterprise Bundle Repositorys springsource bundles milestone flex mojos sonatype jboss community JBoss Community repositories
E:\nuaa\1st_Year\1_code\LocalGit\jrecruiter\.idea\libraries\map_flex_1_9.xml,libraryTable map flex jar PROJECT DIR jrecruiter libs swc false
E:\nuaa\1st_Year\1_code\LocalGit\jrecruiter\.idea\misc.xml,ExternalStorageConfigurationManager true FrameworkDetectionExcludesConfiguration web file PROJECT DIR jrecruiter gwt MavenProjectsManager originalFiles pom xml ProjectRootManager JDK JavaSDK out
E:\nuaa\1st_Year\1_code\LocalGit\jrecruiter\.idea\vcs.xml,VcsDirectoryMappings PROJECT DIR Git svn
E:\nuaa\1st_Year\1_code\LocalGit\jrecruiter\.idea\workspace.xml,jmesa tableFacade yesNoList E uaa st Year code LocalGit jrecruiter web C Users lenovo AppData Roaming Subversion AutoImportSettings autoReloadType SELECTIVE ChangeListManager true c bce b ebbdc Default Changelist SHOW DIALOG false HIGHLIGHT CONFLICTS NON ACTIVE CHANGELIST LAST RESOLUTION IGNORE DefaultGradleProjectSettings isMigrated FindInProjectRecents Git Settings RECENT GIT ROOT PATH PROJECT DIR MarkdownSettingsMigration stateVersion MavenImportPreferences generalSettings mavenHome D apache maven useMavenConfig userSettingsFile conf settings xml importingSettings jdkForImporter vmOptionsForImporter Xmxm ProjectFrameBounds x y width height ProjectId BsTtNUbAoDVrcyYvuskSAIVIg ProjectLevelVcsManager ProjectView Scope Project Files set class com intellij psi search scope ProjectFilesScope PackagesPane ProjectPane ProjectViewState hideEmptyMiddlePackages showLibraryContents PropertiesComponent SHARE CONFIGURATION FILES WebServerToolWindowFactoryState aspect path notification shown last opened file flex libs map swc nodejs interpreter stuck in default project undefined npm reset for structure edited Modules proportion side editor selected configurable reference repository indices SpellCheckerSettings application level SvnConfiguration TaskManager task number presentableId TimeTrackingManager totallyTimeSpent ToolWindowManager Web Designer Favorites combo Structure bottom Docker Database Changes Version Control Java Enterprise Spring SOQL Query Log Analyzer Terminal Event Anonymous Apex Message Find Run Debug Cvs Inspection TODO right Maven Palette Commander SLIDING Ant Build Hierarchy TypeScriptGeneratedFilesManager version editorHistoryManager src main webapp WEB INF jsp admin loggingLoggerTable text loggingLogFileTable joblistTable includes job mapDiv masterDetails ProjectJDKs UI proportions
E:\nuaa\1st_Year\1_code\LocalGit\jrecruiter\jrecruiter-flex\html-template\history\historyFrame.html,function processUrl var pos url indexOf substr if parent ie firstload BrowserHistory setBrowserURL try browserURLChange catch e else false document location href write encodeURIComponent Hidden frame for Browser History support Pragma no cache Expires
E:\nuaa\1st_Year\1_code\LocalGit\jrecruiter\jrecruiter-flex\html-template\index.template.html,title body margin px overflow hidden Globals Major version of Flash requiredvar requiredMajorVersion major Minor requiredMinorVersion minor requiredRevision revision Version check for the Player that has ability to start Product Install r var hasProductInstall DetectFlashVer based upon values defined in globalsvar hasRequestedVersion if t DO NOT MODIFY THE FOLLOWING FOUR LINES Location visited after installation is complete required tvar MMPlayerType isIE true ActiveX PlugIn MMredirectURL window location document slice Installation MMdoctitle tAC FL RunContent src playerProductInstall FlashVars MMplayerType width height align middle id application quality high bgcolor name allowScriptAccess sameDomain type x shockwave flash pluginspage http www adobe com go getflashplayer else we ve detected an acceptable embed Content SWF when all tests are passed swf too old or can detect plugin alternateContent Alternate HTML content should be placed here This requires Adobe a href getflash Get write insert non en Type text html charset utf stylesheet css history AC OETags js javascript JavaScript no clsid DCDBE AED cf B fpdownload macromedia get flashplayer current swflash cab movie false
E:\nuaa\1st_Year\1_code\LocalGit\jrecruiter\jrecruiter-flex\pom.xml,org jrecruiter flex swf pom artifactId main src test sonatype flexmojos maven plugin true basedir web webapp fx jobs en US com adobe framework googlemaps a swc http apache POM www w XMLSchema instance v xsd
E:\nuaa\1st_Year\1_code\LocalGit\jrecruiter\jrecruiter-gwt\pom.xml,jrecruiter org gwt war pom artifactId com google user provided server compile springframework beans M WEB INF classes apache maven plugins compiler plugin codehaus mojo client Gwt test html src main webapp web xml http POM www w XMLSchema instance v xsd
E:\nuaa\1st_Year\1_code\LocalGit\jrecruiter\jrecruiter-gwt\src\main\java\org\jrecruiter\gwt\Gwt_test.gwt.xml,gwt test com google user User theme standard Standard org jrecruiter client Gwt
E:\nuaa\1st_Year\1_code\LocalGit\jrecruiter\jrecruiter-gwt\src\main\resources\spring\applicationContext.xml,http www springframework org schema beans w XMLSchema instance aop tx context flex spring xsd jrecruiter gwt server
E:\nuaa\1st_Year\1_code\LocalGit\jrecruiter\jrecruiter-gwt\src\main\webapp\WEB-INF\web.xml,jrecruiter gwt greetServlet org server GreetingServiceImpl test greet index html htm jsp default http www w XMLSchema instance java sun com xml ns javaee web app xsd WebApp ID
E:\nuaa\1st_Year\1_code\LocalGit\jrecruiter\jrecruiter-server\pom.xml,org jrecruiter server pom artifactId jar Contains the core components of jRecruiter Maven repository http www hillert com maven install apache plugins compiler plugin eclipse springframework ide springnature springbuilder true idea false codehaus mojo hibernate hbmddl jpaconfiguration ImprovedPluralizedNamingStrategy target classes jdbc properties base test skip process resources groupId version dbunit beta dataTypeFactoryName driverClassName username password url src db seed data xml operation type schema compile surefire migration java zeroturnaround javarebel generate rebel emma SNAPSHOT buildnumber validate create javasvn main ftl rosaloves bitlyj net homeip yusuke twitterj slfj nlogj xalan prod derby dialect DerbyDialect derbyclient ClientDriver any value h ext hsqldb HsqldbDataTypeFactory HDialect hdatabase Driver sa HSQLDialect jdbcDriver oracle OracleDataTypeFactory SYSTEM OracleDialect ojdbc OracleDriver system postgresql PostgreSQLDialect INSERT sqlserver mssql MsSqlDataTypeFactory MSSQL CLEAN SQLServerDialect sourceforge jtds appfuse dataset datatype DefaultDataTypeFactory MySQLInnoDBDialect mysql connector root POM w XMLSchema instance v xsd
E:\nuaa\1st_Year\1_code\LocalGit\jrecruiter\jrecruiter-server\src\db\seed-data.xml,id name Other Alpharetta Buckhead Decatur Downtown Duluth Marietta Midtown Norcross Perimeter Aerospace Automotive Consulting Energy IT Education Electronics Financial Government Healthcare Manufacturing Media Retail Telecommunications Transportation Full time Part Contract description ADMIN This is the super user of application MANAGER role can post new jobs username email registration date first last company phone fax password enabled admin jrecruiter org none aswCoBHvJHtCSyJWRHvchesKflhzkRsPbUsfFPTjEkFinlQbgtbRxGluwVrOlWHaLiW eeoJzXvwjZjEYPgrVYuZmmXnRek true users roles message key text mail from no reply jobposting subject regions industries job types to configurations
E:\nuaa\1st_Year\1_code\LocalGit\jrecruiter\jrecruiter-server\src\main\java\org\jrecruiter\dao\package.html,Provides for access to the persistence store
