User private String firstName,administration jsp user firstName,1,Tudu-Lists\src\main\java\tudu\domain\User.java,Tudu-Lists\src\main\webapp\WEB-INF\views\administration.jsp,firstName,Tudu Lists Actions numberOfUsers user login firstName lastName enabled http www w org xhtml en fragments header head jsp main body administration title success eq true form vertical align top border px solid CCC menuDiv min height menuTable width font weight bold admin menu configuration page users text center or null administrationModel action hidden list odd static path propertyStaticPath even google analytics key googleAnalyticsKey email host smtpHost port smtpPort smtpUser password smtpPassword from smtpFrom submit fmt message userSearch number of searchLogin not empty row info first name last todos actions trStyle Disable document forms elements value disableUser Enable enableUser footer, A user author Julien Dubois The serialVersionUID User login password verifyPassword firstName lastName email creationDate lastAccessDate enabled dateFormat roles todoLists getLogin Optional  return empty setLogin this getPassword setPassword getVerifyPassword setVerifyPassword getFirstName setFirstName getLastName setLastName getEmail setEmail getCreationDate setCreationDate getLastAccessDate setLastAccessDate isEnabled setEnabled getDateFormat setDateFormat getRoles setRoles getTodoLists setTodoLists equals o if true instanceof false final hashCode compareTo that toString name tuser usage CacheConcurrencyStrategy READ WRITE getNumberOfUsers query SELECT COUNT findUsersByLogin FROM where LIKE min max fetch FetchType EAGER
RestoreTodoListModel private MultipartFile backupFile,restore jsp br form errors path backupFile cssClass error br,1,Tudu-Lists\src\main\java\tudu\web\mvc\RestoreTodoListModel.java,Tudu-Lists\src\main\webapp\WEB-INF\views\restore.jsp,backupFile,Tudu Lists http www w org xhtml en fragments header head jsp main body restore title restoreTodoListModel multipart form data listId list width px subtitle odd file backupFile error even choice restoreChoice create replace todoList name merge padding left button javascript submitForm this blur submit footer, Form used by RestoreController author Julien Dubois RestoreTodoListModel listId restoreChoice backupFile getRestoreChoice Optional  return empty setRestoreChoice this getBackupFile setBackupFile getListId setListId equals o if true null getClass false that hashCode int result toString
RestoreTodoListModel private String restoreChoice,restore jsp br form errors path restoreChoice cssClass error br,1,Tudu-Lists\src\main\java\tudu\web\mvc\RestoreTodoListModel.java,Tudu-Lists\src\main\webapp\WEB-INF\views\restore.jsp,restoreChoice,Tudu Lists http www w org xhtml en fragments header head jsp main body restore title restoreTodoListModel multipart form data listId list width px subtitle odd file backupFile error even choice restoreChoice create replace todoList name merge padding left button javascript submitForm this blur submit footer, Form used by RestoreController author Julien Dubois RestoreTodoListModel listId restoreChoice backupFile getRestoreChoice Optional  return empty setRestoreChoice this getBackupFile setBackupFile getListId setListId equals o if true null getClass false that hashCode int result toString
RestoreTodoListModel private String restoreChoice,restore jsp form radiobutton path restoreChoice value merge,1,Tudu-Lists\src\main\java\tudu\web\mvc\RestoreTodoListModel.java,Tudu-Lists\src\main\webapp\WEB-INF\views\restore.jsp,restoreChoice,Tudu Lists http www w org xhtml en fragments header head jsp main body restore title restoreTodoListModel multipart form data listId list width px subtitle odd file backupFile error even choice restoreChoice create replace todoList name merge padding left button javascript submitForm this blur submit footer, Form used by RestoreController author Julien Dubois RestoreTodoListModel listId restoreChoice backupFile getRestoreChoice Optional  return empty setRestoreChoice this getBackupFile setBackupFile getListId setListId equals o if true null getClass false that hashCode int result toString
AdministrationModel private String propertyStaticPath,administration jsp form input path propertyStaticPath size maxlength,1,Tudu-Lists\src\main\java\tudu\web\mvc\AdministrationModel.java,Tudu-Lists\src\main\webapp\WEB-INF\views\administration.jsp,propertyStaticPath,Tudu Lists Actions numberOfUsers user login firstName lastName enabled http www w org xhtml en fragments header head jsp main body administration title success eq true form vertical align top border px solid CCC menuDiv min height menuTable width font weight bold admin menu configuration page users text center or null administrationModel action hidden list odd static path propertyStaticPath even google analytics key googleAnalyticsKey email host smtpHost port smtpPort smtpUser password smtpPassword from smtpFrom submit fmt message userSearch number of searchLogin not empty row info first name last todos actions trStyle Disable document forms elements value disableUser Enable enableUser footer, Model class for the administration pages author Julien Dubois AdministrationModel action propertyStaticPath googleAnalyticsKey smtpHost smtpPort smtpUser smtpPassword smtpFrom searchLogin login getAction Optional  return empty setAction this getPropertyStaticPath setPropertyStaticPath getGoogleAnalyticsKey setGoogleAnalyticsKey getSmtpHost setSmtpHost getSmtpPort setSmtpPort getSmtpUser setSmtpUser getSmtpPassword setSmtpPassword getSmtpFrom setSmtpFrom getSearchLogin setSearchLogin getLogin setLogin
AdministrationModel private String smtpPassword,administration jsp form input path smtpPassword size maxlength,1,Tudu-Lists\src\main\java\tudu\web\mvc\AdministrationModel.java,Tudu-Lists\src\main\webapp\WEB-INF\views\administration.jsp,smtpPassword,Tudu Lists Actions numberOfUsers user login firstName lastName enabled http www w org xhtml en fragments header head jsp main body administration title success eq true form vertical align top border px solid CCC menuDiv min height menuTable width font weight bold admin menu configuration page users text center or null administrationModel action hidden list odd static path propertyStaticPath even google analytics key googleAnalyticsKey email host smtpHost port smtpPort smtpUser password smtpPassword from smtpFrom submit fmt message userSearch number of searchLogin not empty row info first name last todos actions trStyle Disable document forms elements value disableUser Enable enableUser footer, Model class for the administration pages author Julien Dubois AdministrationModel action propertyStaticPath googleAnalyticsKey smtpHost smtpPort smtpUser smtpPassword smtpFrom searchLogin login getAction Optional  return empty setAction this getPropertyStaticPath setPropertyStaticPath getGoogleAnalyticsKey setGoogleAnalyticsKey getSmtpHost setSmtpHost getSmtpPort setSmtpPort getSmtpUser setSmtpUser getSmtpPassword setSmtpPassword getSmtpFrom setSmtpFrom getSearchLogin setSearchLogin getLogin setLogin
User private String email,register jsp form errors path email cssClass error,1,Tudu-Lists\src\main\java\tudu\domain\User.java,Tudu-Lists\src\main\webapp\WEB-INF\views\register.jsp,email,Tudu Lists http www w org xhtml en fragments header head jsp main body register title width px info user list subtitle odd login error false even first name firstName last lastName email password verifypassword verifyPassword padding left button javascript submitForm this blur form submit resetForm reset footer, A user author Julien Dubois The serialVersionUID User login password verifyPassword firstName lastName email creationDate lastAccessDate enabled dateFormat roles todoLists getLogin Optional  return empty setLogin this getPassword setPassword getVerifyPassword setVerifyPassword getFirstName setFirstName getLastName setLastName getEmail setEmail getCreationDate setCreationDate getLastAccessDate setLastAccessDate isEnabled setEnabled getDateFormat setDateFormat getRoles setRoles getTodoLists setTodoLists equals o if true instanceof false final hashCode compareTo that toString name tuser usage CacheConcurrencyStrategy READ WRITE getNumberOfUsers query SELECT COUNT findUsersByLogin FROM where LIKE min max fetch FetchType EAGER
User private String lastName,register jsp form input path lastName size maxlength,1,Tudu-Lists\src\main\java\tudu\domain\User.java,Tudu-Lists\src\main\webapp\WEB-INF\views\register.jsp,lastName,Tudu Lists http www w org xhtml en fragments header head jsp main body register title width px info user list subtitle odd login error false even first name firstName last lastName email password verifypassword verifyPassword padding left button javascript submitForm this blur form submit resetForm reset footer, A user author Julien Dubois The serialVersionUID User login password verifyPassword firstName lastName email creationDate lastAccessDate enabled dateFormat roles todoLists getLogin Optional  return empty setLogin this getPassword setPassword getVerifyPassword setVerifyPassword getFirstName setFirstName getLastName setLastName getEmail setEmail getCreationDate setCreationDate getLastAccessDate setLastAccessDate isEnabled setEnabled getDateFormat setDateFormat getRoles setRoles getTodoLists setTodoLists equals o if true instanceof false final hashCode compareTo that toString name tuser usage CacheConcurrencyStrategy READ WRITE getNumberOfUsers query SELECT COUNT findUsersByLogin FROM where LIKE min max fetch FetchType EAGER
User private boolean enabled,administration jsp c if test not user enabled,1,Tudu-Lists\src\main\java\tudu\domain\User.java,Tudu-Lists\src\main\webapp\WEB-INF\views\administration.jsp,enabled,Tudu Lists Actions numberOfUsers user login firstName lastName enabled http www w org xhtml en fragments header head jsp main body administration title success eq true form vertical align top border px solid CCC menuDiv min height menuTable width font weight bold admin menu configuration page users text center or null administrationModel action hidden list odd static path propertyStaticPath even google analytics key googleAnalyticsKey email host smtpHost port smtpPort smtpUser password smtpPassword from smtpFrom submit fmt message userSearch number of searchLogin not empty row info first name last todos actions trStyle Disable document forms elements value disableUser Enable enableUser footer, A user author Julien Dubois The serialVersionUID User login password verifyPassword firstName lastName email creationDate lastAccessDate enabled dateFormat roles todoLists getLogin Optional  return empty setLogin this getPassword setPassword getVerifyPassword setVerifyPassword getFirstName setFirstName getLastName setLastName getEmail setEmail getCreationDate setCreationDate getLastAccessDate setLastAccessDate isEnabled setEnabled getDateFormat setDateFormat getRoles setRoles getTodoLists setTodoLists equals o if true instanceof false final hashCode compareTo that toString name tuser usage CacheConcurrencyStrategy READ WRITE getNumberOfUsers query SELECT COUNT findUsersByLogin FROM where LIKE min max fetch FetchType EAGER
User private String verifyPassword,register jsp form errors path verifyPassword cssClass error htmlEscape false,1,Tudu-Lists\src\main\java\tudu\domain\User.java,Tudu-Lists\src\main\webapp\WEB-INF\views\register.jsp,verifyPassword,Tudu Lists http www w org xhtml en fragments header head jsp main body register title width px info user list subtitle odd login error false even first name firstName last lastName email password verifypassword verifyPassword padding left button javascript submitForm this blur form submit resetForm reset footer, A user author Julien Dubois The serialVersionUID User login password verifyPassword firstName lastName email creationDate lastAccessDate enabled dateFormat roles todoLists getLogin Optional  return empty setLogin this getPassword setPassword getVerifyPassword setVerifyPassword getFirstName setFirstName getLastName setLastName getEmail setEmail getCreationDate setCreationDate getLastAccessDate setLastAccessDate isEnabled setEnabled getDateFormat setDateFormat getRoles setRoles getTodoLists setTodoLists equals o if true instanceof false final hashCode compareTo that toString name tuser usage CacheConcurrencyStrategy READ WRITE getNumberOfUsers query SELECT COUNT findUsersByLogin FROM where LIKE min max fetch FetchType EAGER
