jobs,ShowJobsAction::jrecruiter\\jrecruiter-web\\src\\main\\java\\org\\jrecruiter\\web\\actions\\admin\\ShowJobsAction.java::private List<Job> jobs;,3,"jrecruiter\jrecruiter-web\src\main\webapp\WEB-INF\jsp\admin\show-jobs.jsp::show-jobs.jsp::<s:if test=""jobs != null && jobs.size() > 0"">::21","jrecruiter\jrecruiter-web\src\main\webapp\WEB-INF\jsp\admin\show-jobs.jsp::show-jobs.jsp::<s:if test=""jobs != null && jobs.size() > 0"">::33","jrecruiter\jrecruiter-web\src\main\webapp\WEB-INF\jsp\admin\joblistTable.jsp::joblistTable.jsp::items=""${jobs}""::5",
jobs,ShowJobsAction::jrecruiter\\jrecruiter-web\\src\\main\\java\\org\\jrecruiter\\web\\actions\\ShowJobsAction.java::private List<Job> jobs           = CollectionUtils.getArrayList();,1,"jrecruiter\jrecruiter-web\src\main\webapp\WEB-INF\jsp\jobsTable.jsp::jobsTable.jsp::items=""${jobs}""::5",,,
jobs,ShowStatisticsAction::jrecruiter\\jrecruiter-web\\src\\main\\java\\org\\jrecruiter\\web\\actions\\admin\\ShowStatisticsAction.java::private List<Job> jobs = CollectionUtils.getArrayList();,1,"jrecruiter\jrecruiter-web\src\main\webapp\WEB-INF\jsp\admin\showStatisticsTable.jsp::showStatisticsTable.jsp::items=""${jobs}""::5",,,
jobs,SearchAction::jrecruiter\\jrecruiter-web\\src\\main\\java\\org\\jrecruiter\\web\\actions\\SearchAction.java::private List<Job>jobs = new ArrayList<Job>();,2,"jrecruiter\jrecruiter-web\src\main\webapp\WEB-INF\jsp\search.jsp::search.jsp::<s:if test=""jobs != null && !jobs.empty"">::13","jrecruiter\jrecruiter-web\src\main\webapp\WEB-INF\jsp\search.jsp::search.jsp::items=""${jobs}""::16",,
description,Job::jrecruiter\\jrecruiter-server\\src\\main\\java\\org\\jrecruiter\\model\\Job.java::private String description;,1,"jrecruiter\jrecruiter-web\src\main\webapp\WEB-INF\jsp\job-detail.jsp::job-detail.jsp::<c:set var=""restr""><c:out value=""${job.description}"" escapeXml=""true""/></c:set>::126",,,
apiKeysHolder,SignupAction::jrecruiter\\jrecruiter-web\\src\\main\\java\\org\\jrecruiter\\web\\actions\\registration\\SignupAction.java::private ApiKeysHolder apiKeysHolder;,2,"jrecruiter\jrecruiter-web\src\main\webapp\WEB-INF\jsp\registration\signup.jsp::signup.jsp::<iframe src=""http://api.recaptcha.net/noscript?k=${apiKeysHolder.reCaptchaKey}""::56","jrecruiter\jrecruiter-web\src\main\webapp\WEB-INF\jsp\registration\signup.jsp::signup.jsp::src=""http://api.recaptcha.net/challenge?k=${apiKeysHolder.reCaptchaKey}"">::52",,
apiKeysHolder,JobDetailAction::jrecruiter\\jrecruiter-web\\src\\main\\java\\org\\jrecruiter\\web\\actions\\JobDetailAction.java::private ApiKeysHolder apiKeysHolder;,1,"jrecruiter\jrecruiter-web\src\main\webapp\WEB-INF\jsp\job-detail.jsp::job-detail.jsp::src=""http://maps.google.com/maps?file=api&amp;v=2&amp;key='${apiKeysHolder.googleMapsKey}'""::156",,,
apiKeysHolder,JobBaseAction::jrecruiter\\jrecruiter-web\\src\\main\\java\\org\\jrecruiter\\web\\actions\\admin\\JobBaseAction.java::private ApiKeysHolder apiKeysHolder;,2,"jrecruiter\jrecruiter-web\src\main\webapp\WEB-INF\jsp\admin\add-job.jsp::add-job.jsp::src=""http://maps.google.com/maps?file=api&amp;v=2&amp;key=${apiKeysHolder.googleMapsKey}""::24","jrecruiter\jrecruiter-web\src\main\webapp\WEB-INF\jsp\admin\edit-job.jsp::edit-job.jsp::src=""http://maps.google.com/maps?file=api&amp;v=2&amp;key=${apiKeysHolder.googleMapsKey}""::41",,
updateDate,Job::jrecruiter\\jrecruiter-server\\src\\main\\java\\org\\jrecruiter\\model\\Job.java::private Date updateDate;,4,"jrecruiter\jrecruiter-web\src\main\webapp\WEB-INF\jsp\jobsTable.jsp::jobsTable.jsp::<jmesa:htmlColumn property=""updateDate""   titleKey=""jsp.show.jobs.table.date""         pattern=""${datePattern}"" cellEditor=""org.jmesa.view.editor.DateCellEditor"" filterable=""false""/>::29","jrecruiter\jrecruiter-web\src\main\webapp\WEB-INF\jsp\search.jsp::search.jsp::<jmesa:htmlColumn property=""updateDate""   titleKey=""jsp.show.jobs.table.date""         pattern=""${datePattern}"" cellEditor=""org.jmesa.view.editor.DateCellEditor"" filterable=""false""/>::39","jrecruiter\jrecruiter-web\src\main\webapp\WEB-INF\jsp\admin\joblistTable.jsp::joblistTable.jsp::<jmesa:htmlColumn property=""updateDate""   titleKey=""jsp.show.jobs.table.date"" pattern=""${datePattern}"" cellEditor=""org.jmesa.view.editor.DateCellEditor"" filterable=""false""/>::25","jrecruiter\jrecruiter-web\src\main\webapp\WEB-INF\jsp\job-detail.jsp::job-detail.jsp::<s:property value=""%{job.updateDate}"" escape=""true""/>::41"
fileName,LogFileInfo::jrecruiter\\jrecruiter-web\\src\\main\\java\\org\\jrecruiter\\web\\actions\\admin\\LogFileInfo.java::private String fileName;,2,"jrecruiter\jrecruiter-web\src\main\webapp\WEB-INF\jsp\admin\loggingLogFileTable.jsp::loggingLogFileTable.jsp::<s:param name=""fileName"" value=""%{#attr.logFileInfo.fileName}"" />::13","jrecruiter\jrecruiter-web\src\main\webapp\WEB-INF\jsp\admin\loggingLogFileTable.jsp::loggingLogFileTable.jsp::<jmesa:htmlColumn title=""File Name"" property=""fileName"" />::6",,
