username,User::jrecruiter\\jrecruiter-server\\src\\main\\java\\org\\jrecruiter\\model\\User.java::private String username;,2,"jrecruiter\jrecruiter-web\src\main\webapp\WEB-INF\jsp\admin\user-list-table.jsp::user-list-table.jsp::<s:property value=""%{#attr.user.username}"" escape=""true""/>::23","jrecruiter\jrecruiter-web\src\main\webapp\WEB-INF\jsp\admin\user-list-table.jsp::user-list-table.jsp::<jmesa:htmlColumn styleClass=""userlist2"" property=""username"" sortable=""true"">::22",,,,,
website,Job::jrecruiter\\jrecruiter-server\\src\\main\\java\\org\\jrecruiter\\model\\Job.java::private String website;,5,"jrecruiter\jrecruiter-web\src\main\webapp\WEB-INF\jsp\job-detail.jsp::job-detail.jsp::<c:if test=""${not fn:contains(job.website* 'http')}"">::115","jrecruiter\jrecruiter-web\src\main\webapp\WEB-INF\jsp\job-detail.jsp::job-detail.jsp::<s:if test=""job.website != null && job.website.length() > 0"">::112","jrecruiter\jrecruiter-web\src\main\webapp\WEB-INF\jsp\job-detail.jsp::job-detail.jsp::<a href=""${job.website}"">${job.website}</a>::119","jrecruiter\jrecruiter-web\src\main\webapp\WEB-INF\jsp\job-detail.jsp::job-detail.jsp::<a href=""http://${job.website}"">${job.website}</a>::116","jrecruiter\jrecruiter-web\src\main\webapp\WEB-INF\jsp\job-detail.jsp::job-detail.jsp::<c:if test=""${fn:contains(job.website* 'http')}"">::118",,
users,ShowUsersAction::jrecruiter\\jrecruiter-web\\src\\main\\java\\org\\jrecruiter\\web\\actions\\admin\\ShowUsersAction.java::private List<User>users;,2,"jrecruiter\jrecruiter-web\src\main\webapp\WEB-INF\jsp\admin\show-users.jsp::show-users.jsp::<s:if test=""users != null && users.size > 0"">::73","jrecruiter\jrecruiter-web\src\main\webapp\WEB-INF\jsp\admin\show-users.jsp::show-users.jsp::<s:if test=""users != null && users.size > 0"">::61",,,,,
jobTitle,Job::jrecruiter\\jrecruiter-server\\src\\main\\java\\org\\jrecruiter\\model\\Job.java::private String jobTitle;,7,"jrecruiter\jrecruiter-web\src\main\webapp\WEB-INF\jsp\search.jsp::search.jsp::<jmesa:htmlColumn property=""jobTitle""     titleKey=""jsp.show.jobs.table.job.title"" />::36","jrecruiter\jrecruiter-web\src\main\webapp\WEB-INF\jsp\jobsTable.jsp::jobsTable.jsp::<jmesa:htmlColumn property=""jobTitle""     titleKey=""jsp.show.jobs.table.job.title"" />::26","jrecruiter\jrecruiter-web\src\main\webapp\WEB-INF\jsp\admin\showStatisticsTable.jsp::showStatisticsTable.jsp::<jmesa:htmlColumn styleClass=""column2"" property=""jobTitle""               titleKey=""jsp.show.jobs.job.title"" filterable=""false""/>::12","jrecruiter\jrecruiter-web\src\main\webapp\WEB-INF\jsp\search.jsp::search.jsp::<a title=""Job Detail - ${job.jobTitle}"" href=""${jobDetailUrl}"">::26","jrecruiter\jrecruiter-web\src\main\webapp\WEB-INF\jsp\admin\joblistTable.jsp::joblistTable.jsp::<jmesa:htmlColumn property=""jobTitle""     titleKey=""jsp.show.jobs.table.job.title"" />::22","jrecruiter\jrecruiter-web\src\main\webapp\WEB-INF\jsp\jobsTable.jsp::jobsTable.jsp::<a title=""Job Detail - ${job.jobTitle}"" href=""${jobDetailUrl}"">::16","jrecruiter\jrecruiter-web\src\main\webapp\WEB-INF\jsp\job-detail.jsp::job-detail.jsp::<s:property value=""%{job.jobTitle}"" escape=""true""/>::45"
lastName,User::jrecruiter\\jrecruiter-server\\src\\main\\java\\org\\jrecruiter\\model\\User.java::private String lastName;,1,"jrecruiter\jrecruiter-web\src\main\webapp\WEB-INF\jsp\admin\user-list-table.jsp::user-list-table.jsp::<jmesa:htmlColumn styleClass=""userlist3"" property=""lastName""          titleKey=""user.lastName""     sortable=""true""/>::26",,,,,,
firstName,User::jrecruiter\\jrecruiter-server\\src\\main\\java\\org\\jrecruiter\\model\\User.java::private String firstName;,1,"jrecruiter\jrecruiter-web\src\main\webapp\WEB-INF\jsp\admin\user-list-table.jsp::user-list-table.jsp::<jmesa:htmlColumn styleClass=""userlist2"" property=""firstName""         titleKey=""user.firstName""    sortable=""true""/>::25",,,,,,
usesMap,Job::jrecruiter\\jrecruiter-server\\src\\main\\java\\org\\jrecruiter\\model\\Job.java::private Boolean usesMap;,6,"jrecruiter\jrecruiter-web\src\main\webapp\WEB-INF\jsp\jobsTable.jsp::jobsTable.jsp::<jmesa:htmlColumn  property=""usesMap"" title=""&nbsp;"" filterable=""false"">::12","jrecruiter\jrecruiter-web\src\main\webapp\WEB-INF\jsp\job-detail.jsp::job-detail.jsp::<s:if test=""job.usesMap"">::25","jrecruiter\jrecruiter-web\src\main\webapp\WEB-INF\jsp\search.jsp::search.jsp::<s:if test=""#attr.job.usesMap"">::31","jrecruiter\jrecruiter-web\src\main\webapp\WEB-INF\jsp\job-detail.jsp::job-detail.jsp::<s:if test=""job.usesMap"">::153","jrecruiter\jrecruiter-web\src\main\webapp\WEB-INF\jsp\search.jsp::search.jsp::<jmesa:htmlColumn  property=""usesMap"" title=""&nbsp;"" filterable=""false"">::22","jrecruiter\jrecruiter-web\src\main\webapp\WEB-INF\jsp\jobsTable.jsp::jobsTable.jsp::<s:if test=""#attr.job.usesMap"">::21",
company,User::jrecruiter\\jrecruiter-server\\src\\main\\java\\org\\jrecruiter\\model\\User.java::private String company;,1,"jrecruiter\jrecruiter-web\src\main\webapp\WEB-INF\jsp\admin\user-list-table.jsp::user-list-table.jsp::<jmesa:htmlColumn property=""company""     titleKey=""user.company""/>::30",,,,,,
businessName,Job::jrecruiter\\jrecruiter-server\\src\\main\\java\\org\\jrecruiter\\model\\Job.java::private String businessName;,4,jrecruiter\jrecruiter-web\src\main\webapp\WEB-INF\jsp\job-detail.jsp::job-detail.jsp::${job.businessName}::49,"jrecruiter\jrecruiter-web\src\main\webapp\WEB-INF\jsp\jobsTable.jsp::jobsTable.jsp::<jmesa:htmlColumn property=""businessName"" titleKey=""jsp.show.jobs.table.business.name""/>::27","jrecruiter\jrecruiter-web\src\main\webapp\WEB-INF\jsp\admin\joblistTable.jsp::joblistTable.jsp::<jmesa:htmlColumn property=""businessName"" titleKey=""jsp.show.jobs.table.business.name""/>::23","jrecruiter\jrecruiter-web\src\main\webapp\WEB-INF\jsp\search.jsp::search.jsp::<jmesa:htmlColumn property=""businessName"" titleKey=""jsp.show.jobs.table.business.name""/>::37",,,
jobRestrictions,Job::jrecruiter\\jrecruiter-server\\src\\main\\java\\org\\jrecruiter\\model\\Job.java::private String jobRestrictions;,2,"jrecruiter\jrecruiter-web\src\main\webapp\WEB-INF\jsp\job-detail.jsp::job-detail.jsp::<s:if test=""job.jobRestrictions != null && job.jobRestrictions.length() > 0"">::137","jrecruiter\jrecruiter-web\src\main\webapp\WEB-INF\jsp\job-detail.jsp::job-detail.jsp::<c:set var=""restr""><c:out value=""${job.jobRestrictions}"" escapeXml=""true""/></c:set>::140",,,,,
longitude,Job::jrecruiter\\jrecruiter-server\\src\\main\\java\\org\\jrecruiter\\model\\Job.java::private BigDecimal longitude = null;,2,jrecruiter\jrecruiter-web\src\main\webapp\WEB-INF\jsp\job-detail.jsp::job-detail.jsp::${job.latitude}* ${job.longitude}::29,jrecruiter\jrecruiter-web\src\main\webapp\WEB-INF\jsp\job-detail.jsp::job-detail.jsp::showJob('map_canvas'*  ${job.latitude}* ${job.longitude}* ${job.zoomLevel});::161,,,,,
salary,Job::jrecruiter\\jrecruiter-server\\src\\main\\java\\org\\jrecruiter\\model\\Job.java::private String salary;,2,"jrecruiter\jrecruiter-web\src\main\webapp\WEB-INF\jsp\job-detail.jsp::job-detail.jsp::<s:if test=""job.salary != null"">::69",jrecruiter\jrecruiter-web\src\main\webapp\WEB-INF\jsp\job-detail.jsp::job-detail.jsp::${job.salary}::71,,,,,
latitude,Job::jrecruiter\\jrecruiter-server\\src\\main\\java\\org\\jrecruiter\\model\\Job.java::private BigDecimal latitude = null;,2,jrecruiter\jrecruiter-web\src\main\webapp\WEB-INF\jsp\job-detail.jsp::job-detail.jsp::${job.latitude}* ${job.longitude}::29,jrecruiter\jrecruiter-web\src\main\webapp\WEB-INF\jsp\job-detail.jsp::job-detail.jsp::showJob('map_canvas'*  ${job.latitude}* ${job.longitude}* ${job.zoomLevel});::161,,,,,
statistic,Job::jrecruiter\\jrecruiter-server\\src\\main\\java\\org\\jrecruiter\\model\\Job.java::private Statistic statistic;,5,"jrecruiter\jrecruiter-web\src\main\webapp\WEB-INF\jsp\admin\edit-job.jsp::edit-job.jsp::<li><label><spring:message code=""jsp.admin.edit-job.fieldset.label.last.access""/>:</label><fmt:formatDate value=""${job.statistic.lastAccess}"" type=""date"" pattern=""${datePattern}""/></li>::16","jrecruiter\jrecruiter-web\src\main\webapp\WEB-INF\jsp\admin\showStatisticsTable.jsp::showStatisticsTable.jsp::<jmesa:htmlColumn styleClass=""column5"" property=""statistic.lastAccess""   titleKey=""jsp.showStatistics.last.access"" pattern=""${datePattern}"" cellEditor=""org.jmesa.view.editor.DateCellEditor"" filterable=""false""/>::14","jrecruiter\jrecruiter-web\src\main\webapp\WEB-INF\jsp\admin\showStatisticsTable.jsp::showStatisticsTable.jsp::<jmesa:htmlColumn styleClass=""column3"" property=""statistic.counter""      titleKey=""jsp.showStatistics.hits"" filterable=""false""/>::13","jrecruiter\jrecruiter-web\src\main\webapp\WEB-INF\jsp\admin\edit-job.jsp::edit-job.jsp::<li><label><spring:message code=""jsp.admin.edit-job.fieldset.label.page.visits""/>:</label><s:property value=""%{job.statistic.counter}"" default=""N/A""/></li>::15","jrecruiter\jrecruiter-web\src\main\webapp\WEB-INF\jsp\job-detail.jsp::job-detail.jsp::<div style=""float: right; width: 200px; text-align: right;"">Statistics: ${job.statistic.counter} hit(s)</div>::14",,
