authenticationService,1,AcegiCacheManager::powerstone\\src\\org\\powerstone\\acegi\\cache\\AcegiCacheManager.java::private AuthenticationService authenticationService;,
targetFrame,1,TreeMaker::powerstone\\src\\org\\powerstone\\workflow\\util\\TreeMaker.java::private String targetFrame;,
emailList,1,TaskEmail::powerstone\\src\\org\\powerstone\\workflow\\job\\TaskEmail.java::private java.util.ArrayList emailList;,
techStateN,1,WorkflowDriverDAOTest::powerstone\\test\\org\\powerstone\\workflow\\dao\\WorkflowDriverDAOTest.java::WFDriverOutputParamEnume techStateN = null;,
linkFlowProc,1,FlowProc::powerstone\\src\\org\\powerstone\\workflow\\model\\FlowProc.java::private FlowProc linkFlowProc;,
flowEngineBeanName,1,WorkflowFactoryPlugin::powerstone\\src\\org\\powerstone\\workflow\\flowdriver\\WorkflowFactoryPlugin.java::private String flowEngineBeanName = DEFAULT_FLOW_ENGINE_BEAN_NAME;,
techStateY,1,WorkflowDriverDAOTest::powerstone\\test\\org\\powerstone\\workflow\\dao\\WorkflowDriverDAOTest.java::WFDriverOutputParamEnume techStateY = null;,
ERROR_FLOWMETAFILE_NULL,1,ExceptionMessage::powerstone\\src\\org\\powerstone\\workflow\\exception\\ExceptionMessage.java::public static final String ERROR_FLOWMETAFILE_NULL =,
password,1,User::powerstone\\src\\org\\powerstone\\ca\\model\\User.java::private String password;,
FLOW_PERFORMER_RULE,1,FlowNodeBinding::powerstone\\src\\org\\powerstone\\workflow\\model\\FlowNodeBinding.java::public final static String FLOW_PERFORMER_RULE = "5";,
flowUserPerformers,1,FlowNodeBinding::powerstone\\src\\org\\powerstone\\workflow\\model\\FlowNodeBinding.java::private List flowUserPerformers = new ArrayList();,
taskState,1,FlowTask::powerstone\\src\\org\\powerstone\\workflow\\model\\FlowTask.java::private String taskState = TASK_STATE_FREE;,
variableToProcessOUT,1,WorkflowNode::powerstone\\src\\org\\powerstone\\workflow\\model\\WorkflowNode.java::private String[] variableToProcessOUT;,
flowMetaFileDAO,1,FlowMetaManagerImpl::powerstone\\src\\org\\powerstone\\workflow\\service\\impl\\FlowMetaManagerImpl.java::private FlowMetaFileDAO flowMetaFileDAO;,
serverDomain,1,AuthenticateManagerImpl::powerstone\\src\\org\\powerstone\\ca\\service\\impl\\AuthenticateManagerImpl.java::private static String serverDomain; //�û���½����,
state,1,User::powerstone\\src\\org\\powerstone\\ca\\model\\User.java::private String state = USER_STATE_NORMAL;,
cache,1,EhCacheBasedResourceCache::powerstone\\src\\org\\powerstone\\acegi\\cache\\EhCacheBasedResourceCache.java::Cache cache;,
refuseFor,1,FlowTaskRefuse::powerstone\\src\\org\\powerstone\\workflow\\model\\FlowTaskRefuse.java::private String refuseFor;,
flowFileVersions,1,WorkflowMeta::powerstone\\src\\org\\powerstone\\workflow\\model\\WorkflowMeta.java::private List flowFileVersions = new ArrayList();,
_role,1,RoleDAOTest::powerstone\\test\\org\\powerstone\\ca\\dao\\RoleDAOTest.java::Role _role = null;,
TASK_STATE_NEED_TO_ASSIGN,1,FlowTask::powerstone\\src\\org\\powerstone\\workflow\\model\\FlowTask.java::public static final String TASK_STATE_NEED_TO_ASSIGN = "need_to_assign";,
accessDecisionVoter,1,AuthenticationUtil::powerstone\\src\\org\\powerstone\\acegi\\util\\AuthenticationUtil.java::AccessDecisionVoter accessDecisionVoter;,
IMAGE_SIZE,1,FlowMetaController::powerstone\\src\\org\\powerstone\\workflow\\web\\FlowMetaController.java::private static final int IMAGE_SIZE = 120;,
flowNodeOutputParamEnumeBindings,1,FlowNodeOutputParamBinding::powerstone\\src\\org\\powerstone\\workflow\\model\\FlowNodeOutputParamBinding.java::private List flowNodeOutputParamEnumeBindings = new ArrayList();,
webModules,1,User::powerstone\\src\\org\\powerstone\\ca\\model\\User.java::private List webModules = new ArrayList();,
RESOURCE_TYPE_TAG,1,Resource::powerstone\\src\\org\\powerstone\\acegi\\resource\\Resource.java::public static final String RESOURCE_TYPE_TAG = "TAG";,
flowProcTransitions,1,FlowProcTransaction::powerstone\\src\\org\\powerstone\\workflow\\model\\FlowProcTransaction.java::private List flowProcTransitions = new ArrayList();,
authorities,1,Resource::powerstone\\src\\org\\powerstone\\acegi\\resource\\Resource.java::private GrantedAuthority[] authorities;,
COMMON_FUNCTION_RIGHT,1,GivenRight::powerstone\\src\\org\\powerstone\\ca\\model\\GivenRight.java::public final static String COMMON_FUNCTION_RIGHT="common_function_right";,
groupName,1,Group::powerstone\\src\\org\\powerstone\\ca\\model\\Group.java::private String groupName;,
flowTaskParamName,1,WorkflowDriverReadAction::powerstone\\src\\org\\powerstone\\workflow\\flowdriver\\WorkflowDriverReadAction.java::private static String flowTaskParamName =,
starterUserID,1,FlowProc::powerstone\\src\\org\\powerstone\\workflow\\model\\FlowProc.java::private String starterUserID;,
taskRoles,1,FlowTask::powerstone\\src\\org\\powerstone\\workflow\\model\\FlowTask.java::private List taskRoles = new ArrayList();,
roleName,1,Role::powerstone\\src\\org\\powerstone\\ca\\model\\Role.java::private String roleName;,
ERROR_CA_HAS_NO_RIGHT,1,CAErrorMessage::powerstone\\src\\org\\powerstone\\ca\\exception\\CAErrorMessage.java::public static final String ERROR_CA_HAS_NO_RIGHT =,
wfDriverOutputParamEnume,1,FlowNodeOutputParamEnumeBinding::powerstone\\src\\org\\powerstone\\workflow\\model\\FlowNodeOutputParamEnumeBinding.java::private WFDriverOutputParamEnume wfDriverOutputParamEnume;,
role,1,RoleRight::powerstone\\src\\org\\powerstone\\ca\\model\\RoleRight.java::private Role role;,
filterInvocationDefinitionSource,1,AuthenticationUtil::powerstone\\src\\org\\powerstone\\acegi\\util\\AuthenticationUtil.java::FilterInvocationDefinitionSource filterInvocationDefinitionSource;,
