E:\nuaa\1st_Year\1_code\LocalGit\itracker\.idea\artifacts\itracker_web_war.xml,PROJECT DIR itracker web target war ArtifactManager maven jee properties archive artifact exploded
E:\nuaa\1st_Year\1_code\LocalGit\itracker\.idea\artifacts\itracker_web_war_exploded.xml,PROJECT DIR itracker web target true war ArtifactManager exploded maven jee properties root directory WEB INF classes module output lib archive services SNAPSHOT jar core library project Maven org apache logging logj slfj impl api commons lang codec springframework spring context RELEASE aop orm jdbc tx security hibernate ga net sf ehcache asm attrs domj cglib javax servlet jstl taglibs standard spec beanutils fileupload io digester antlr quartz aopalliance beans expression config acl xml bind jaxb activation jasperreports collections com lowagie itext js bouncycastle bctsp jdk bcprov bcmail jfree jcommon jfreechart eclipse jdt compiler ecj codehaus castor inject stax stream fasterxml jackson databind annotations lucene analyzers common queryparser queries sandbox jakarta regexp olapj JS google zxing rome jdom bsh groovy struts tiles chain validator oro extras taglib el webjars x jquery bootstrap datepicker font awesome transaction jta persistence META file copy MANIFEST MF javaee facet resources Web
E:\nuaa\1st_Year\1_code\LocalGit\itracker\.idea\compiler.xml,CompilerConfiguration Maven default annotation processors profile true target generated sources annotations test itracker persistence web core services assembly
E:\nuaa\1st_Year\1_code\LocalGit\itracker\.idea\encodings.xml,Encoding file PROJECT DIR itracker assembly src main java ISO resources core persistence services web jetty configSrc
E:\nuaa\1st_Year\1_code\LocalGit\itracker\.idea\jarRepositories.xml,RemoteRepositoriesConfiguration id central name Central Repository url http maven aliyun com nexus content groups public Maven repository https repo org jboss community JBoss Community repositories
E:\nuaa\1st_Year\1_code\LocalGit\itracker\.idea\libraries\lib.xml,libraryTable lib jar PROJECT DIR javax servlet persistence annotation resource jsp jstl ejb transaction jms
E:\nuaa\1st_Year\1_code\LocalGit\itracker\.idea\libraries\Maven__antlr_antlr_2_7_7.xml,libraryTable Maven antlr jar MAVEN REPOSITORY javadoc sources
E:\nuaa\1st_Year\1_code\LocalGit\itracker\.idea\libraries\Maven__aopalliance_aopalliance_1_0.xml,libraryTable Maven aopalliance jar MAVEN REPOSITORY javadoc sources
E:\nuaa\1st_Year\1_code\LocalGit\itracker\.idea\libraries\Maven__asm_asm_1_5_3.xml,libraryTable Maven asm jar MAVEN REPOSITORY javadoc sources
E:\nuaa\1st_Year\1_code\LocalGit\itracker\.idea\libraries\Maven__asm_asm_attrs_1_5_3.xml,libraryTable Maven asm attrs jar MAVEN REPOSITORY javadoc sources
